"NIGfd-" "NIGfd" "lasso" "ridge" "null"
"emsel" 0.0492551791385146 0.049232680968688 0.0493123558873954 0.0528518660356379 0.0797656675575041
"emsel" 0.0583568759969251 0.0583764657086189 0.0583172358058166 0.062684677690275 0.0929576128870043
"emsel" 0.0532822628034594 0.053287306364595 0.053262198333708 0.0572914933520476 0.0853422509599034
"emsel" 0.0574830859137863 0.0574768164192429 0.0574586399968619 0.0617421296718056 0.0907322110010825
"emsel" 0.0608016586324086 0.0608293032120908 0.0607680589369357 0.0655256186421068 0.095849349106058
"emsel" 0.0600255379723351 0.0600085188452991 0.0600476782024464 0.0645316949599424 0.0958394686109527
"emsel" 0.0545995491595813 0.0545789089592935 0.0544677967613851 0.0586783815251193 0.0873807835993754
"emsel" 0.0582650179248656 0.0582291938746926 0.0583636559014339 0.0623496538072259 0.0915678376527506
"emsel" 0.0723749013480241 0.0723495056118863 0.0724469692738169 0.0771742311914191 0.110477241666897
"emsel" 0.0619032356989116 0.0619107582315226 0.0619656008027451 0.0661270417641617 0.0956848832652878
"emsel" 0.0570781553552719 0.0570346465335135 0.0570489740657556 0.0611483353328007 0.0906972195381149
"emsel" 0.0553985215240016 0.0553722812736983 0.0552722266557395 0.0595179812114493 0.0878687341451077
"emsel" 0.0638632750789541 0.0638322089131332 0.0638681755810674 0.0685115507698839 0.100178769612329
"emsel" 0.0575841208267914 0.0576064657137969 0.0575273301109767 0.0618640046912955 0.091467374536432
"emsel" 0.0628758336208444 0.0628724099132478 0.0628822111501161 0.067457116248709 0.099917994111439
"emsel" 0.051985967124511 0.051996569118398 0.052033098492789 0.055918336583792 0.0837707023027067
"emsel" 0.0621964683677998 0.0621919407146304 0.0621650867851242 0.0665305431796807 0.0965433891528072
"emsel" 0.0663927308311745 0.066373806213854 0.0664695582062147 0.0710819250093834 0.102767296473643
"emsel" 0.0568999064870943 0.0568910314504784 0.0568938985921335 0.0611368941611804 0.0892779572357154
"emsel" 0.0581604340378917 0.058117917401548 0.0581611240324284 0.0622128395515941 0.091543123070193
"emsel" 0.0544915347255511 0.0544736029703383 0.0544507438802991 0.0588402480427873 0.0886100113756158
"emsel" 0.057600997766477 0.0575749998316366 0.0574896737379552 0.0618618107522094 0.090810912600681
"emsel" 0.062454253770185 0.0624083809533406 0.0626170100616053 0.0668606332210106 0.098814556670509
"emsel" 0.0520647548850717 0.0520235563642599 0.0520878551302823 0.0558919619223228 0.0831223608034727
"emsel" 0.0631106478897435 0.0630841340932486 0.0632495540566158 0.0675092945934238 0.0994059413243188
"emsel" 0.061069463319152 0.0611054400760367 0.0609732528843802 0.0655948786503766 0.0958813205310423
"emsel" 0.064395550643051 0.0644088305602174 0.064422514558247 0.0690353040701259 0.100928730758789
"emsel" 0.0596141897272162 0.0596276051123473 0.0594791414458292 0.064145650506578 0.0941234401253904
"emsel" 0.0630083322116033 0.0629650549247023 0.0629685477683624 0.0676085552736725 0.098721175317642
"emsel" 0.0516929860652129 0.0516370703492073 0.051741069266907 0.0553944185683079 0.0834459902503151
"emsel" 0.0574545437440013 0.0574376359967707 0.0575587356745982 0.0616203462823581 0.0906184201315524
"emsel" 0.0620641419536337 0.0620518745796499 0.0621109509956997 0.0664048418644383 0.0967323374573398
"emsel" 0.0784814927149206 0.0784942668730325 0.0783781773647712 0.084328905904386 0.119883367215766
"emsel" 0.0493983316643649 0.0493559438913781 0.0493698687108006 0.0530267572681914 0.0803612937261161
"emsel" 0.0620467862655212 0.0620209715565632 0.0620908827524161 0.0663004756401424 0.0962499276372362
"emsel" 0.0588921859048796 0.0588781366494922 0.0589509624932014 0.0632463897759426 0.0926769790011319
"emsel" 0.0615002391067001 0.0615003377421657 0.0615418250068414 0.0659339644656163 0.0969806954432676
"emsel" 0.0710815052522725 0.0710242277340533 0.0710273822128894 0.0760046175293577 0.108849617323466
"emsel" 0.0619211462085695 0.061888161871493 0.061909778708531 0.0660965600275031 0.0961979207668599
"emsel" 0.0593433103430144 0.0593633341709232 0.0592550507110051 0.0638398543630103 0.0928511050238291
"emsel" 0.0548315364172232 0.0548092280790405 0.0549276436890462 0.0587449173496674 0.0867509921519379
"emsel" 0.0523882561529037 0.0523624036379214 0.052322843260279 0.0562962614372577 0.0833498848680464
"emsel" 0.064784371028664 0.0647690470500323 0.0647922703282067 0.0694926857479392 0.100603433563786
"emsel" 0.0702206714663352 0.0701885455706326 0.0701142973154538 0.0754064494309128 0.107985225600857
"emsel" 0.0601550691740613 0.0601126037171557 0.0600849256768497 0.0646988625221771 0.0948277516992033
"emsel" 0.0630719607184171 0.063056355744137 0.063117468223304 0.0675176793082296 0.0988511805365325
"emsel" 0.0519668416103763 0.0519409683745255 0.052017465637744 0.0556784404807661 0.0833367559098256
"emsel" 0.05339273149968 0.0534091029672081 0.0533875291961006 0.0576575074902361 0.0862753598688618
"emsel" 0.0675993722242164 0.0675717673906312 0.067566714468806 0.0722860539509388 0.103442386959325
"emsel" 0.0541318169043117 0.054114921384321 0.0541575324749936 0.0580108041810821 0.0865442507215981
"emsel" 0.0608247667652172 0.0608308436914817 0.0607816044101493 0.0651876153446381 0.0955672385821391
"emsel" 0.0540865753516454 0.0540680407141344 0.0540607993039721 0.0579953532523678 0.0865176118075729
"emsel" 0.0645541743609381 0.0645571008693488 0.0645810227665354 0.0692921310385071 0.100601842513311
"emsel" 0.062854333221982 0.0628146092808149 0.0628993479017205 0.0673438168357929 0.0978772290368618
"emsel" 0.0564933714742707 0.0564631408489749 0.0565169076258575 0.0604230641331144 0.0886576479731458
"emsel" 0.0728883763569864 0.0728915219625578 0.0728308794491581 0.0779304622204614 0.111862283522379
"emsel" 0.0566907016019281 0.0566951315639942 0.0566940635340776 0.0607891027928119 0.0894718949276249
"emsel" 0.0524292513681579 0.052412671951971 0.0524696927190953 0.0560856992502981 0.0837720230010035
"emsel" 0.0647996538892862 0.0648044519855264 0.0647024489930812 0.0695751341007142 0.102122424024303
"emsel" 0.0607710231419607 0.0607977899083442 0.0606697592468276 0.0653826915294232 0.0953111971011539
"emsel" 0.0674148640627684 0.0674019866749988 0.0673977386619319 0.0720868665880333 0.103412014903325
"emsel" 0.059502697577637 0.059501091030496 0.0594659997728277 0.0637220286218712 0.0926341927568718
"emsel" 0.0485961125566577 0.0486064017122224 0.0485431870899784 0.0521158038146779 0.0788146210652066
"emsel" 0.0676989210652404 0.0677371532074988 0.0675719463400233 0.0726872098003329 0.104004051625455
"emsel" 0.0598989310228058 0.0598907631614727 0.0598422441428657 0.0641436051581633 0.093928496694754
"emsel" 0.0638536448299949 0.0638695392891195 0.0637247604106851 0.0685695176406914 0.0997080223637268
"emsel" 0.0703455682627828 0.0703255122423877 0.0703838859824458 0.0752037687420631 0.109190390700685
"emsel" 0.0650711974101451 0.0650395699232433 0.0651969629507875 0.0696854982197345 0.1009681520552
"emsel" 0.0551706812473758 0.0551733213203253 0.0552060101006359 0.0592834397815217 0.0877185111800036
"emsel" 0.0644168989153275 0.0643876767342524 0.0644916811526259 0.0690551251005721 0.100063591444113
"emsel" 0.0625789832616251 0.0625670455535635 0.0626242795615267 0.0671114395748446 0.0974028712990062
"emsel" 0.0633404300709535 0.063319576062452 0.0633594638121914 0.0679308800803341 0.0987485449186329
"emsel" 0.058848026843063 0.0588779201027212 0.0587568906053692 0.0630110442233574 0.0924201960511402
