"semnig1" "semnig2" "ridge1" "lasso1" "xtune1" "ebridge1"
"pmse107" 1.06679274103756 1.06671942737792 1.00639669921536 0.964091053439012 0.992543715504091 1.01541331216064
"pmse108" 0.637680116007178 0.637869608994907 0.621924421701214 0.658204191774499 0.624636235476536 0.623400172482203
"pmse109" 0.802926266112193 0.802016787856628 0.792023703515234 0.784472263328167 0.780555604286771 0.79562460088118
"pmse110" 0.627834704385755 0.628100692630133 0.614276465104923 0.640666021420129 0.624145982070372 0.614402533090677
"pmse111" 0.908299264106536 0.907837574804297 0.881252896687608 0.89452934379135 0.88428105499763 0.8915066095821
"pmse112" 0.678451306125703 0.678055144661855 0.671677568294962 0.688388234218547 0.66731639464123 0.673236656031267
"pmse113" 0.841883982425551 0.842094984225438 0.830515613167494 0.845844146159122 0.839160620423026 0.831487065636104
"pmse114" 0.790889402477367 0.790116539809517 0.784197256277887 0.828354911235087 0.789787451712429 0.795825499631228
"pmse115" 0.765151710966993 0.764870229817122 0.763851780995921 0.766288275292576 0.76207960757926 0.761769653256039
"pmse116" 0.735144041459214 0.736048658181043 0.744033568610794 0.825608033824562 0.7456459797653 0.733402523956439
"pmse117" 0.95272697600232 0.953389004211868 0.919294214685211 0.942379798994865 0.924321729188204 0.921096074435747
"pmse118" 0.748759009387798 0.747228786847418 0.782757782591445 0.814006794307365 0.767682453182222 0.781804915031321
"pmse119" 0.922450698198134 0.922486781819525 0.919468939549591 0.965493031352414 0.922997275301196 0.92021283172749
"pmse120" 0.869925473072984 0.868881052957711 0.877985506007639 0.870654358511032 0.880095114121302 0.87448799456663
"pmse121" 0.710833714263189 0.710431449321794 0.712089743074241 0.715872089087478 0.70624288835244 0.714758309758003
"pmse122" 0.611676634810211 0.610949856228961 0.615803162348174 0.618710565038488 0.604124190346756 0.614559552980736
"pmse123" 1.01542166122524 1.01365896150651 0.952419029862429 1.00469002405539 0.963617646982615 0.958031959358717
"pmse124" 0.855573692407256 0.856036341316856 0.84413433898788 0.873321574503705 0.843870865277894 0.840970734876299
"pmse125" 0.817764111504645 0.815286506647907 0.860927994455995 0.869202730649611 0.821794371048791 0.861015822612836
"pmse126" 0.950725504692028 0.951024939332748 0.942635964164975 0.95179850412852 0.937562346354369 0.936865227523492
"pmse127" 1.0001081972464 0.999711079695087 0.959954212797361 1.00421998887268 0.964774885235713 0.962600630146568
"pmse128" 0.728327131244861 0.727870815306805 0.738592788250137 0.766243467098999 0.727087065610601 0.734803701911733
"pmse129" 0.663743234463634 0.664048664146053 0.669382560814725 0.676089760042341 0.665976311383286 0.663431477411203
"pmse130" 0.687864507901596 0.687424392258686 0.672219581023269 0.705439928617943 0.673781408220294 0.679698967922004
"pmse131" 0.693491493032459 0.693057411653755 0.730495233024247 0.801341802420575 0.721341603622468 0.723248305526206
"pmse132" 0.646660981824035 0.647481789107834 0.64283625064878 0.651020969377158 0.650649503956777 0.638770605440412
